File:     HW95S.DAT                                                              
Status:   1997.07.27                                                              
Contents: Hartmann and Wenzel (1995) tidal potential catalogue,  with  12935    
          tidal  waves  in  total and 19300 adjusted  parameters  in  total,    
          sorted to increasing frequency.  All  potential  coefficients  are    
          rounded to  10**-10  m**2/s**2,  which  corresponds  to  3*10**-17    
          m/s**2 = 0.003 pgal in gravity. 
                                                                                
          Note that there exist in the catalogue some tidal waves which have    
          the same frequency but are generated by different celestial bodies    
          or are related to different degree of the  tidal  potential. These
          waves are sorted to increasing degree, and for the same degree, to
          the sequence Moon, Sun, Mercury, Venus, Mars, Jupiter and  Saturn. 
          Within an application program, it might be usefull or necessary to
          merge the tidal waves with identical frequencies and degree.  Note
          that the tidal potential coefficients need not to be normalized by    
          a so-called Doodson-constant (and by the  geodetic  coefficients),    
          but only by the corresponding fully normalized associated Legendre    
          function of the stations spherical latitude.                          
                                                                                
          The tidal potential and the gravity tide can be computed using the    
          HW95 catalogue with programs HWTIDF.FOR and HWTIDC.C, supplied  by    
          the authors. All these files are available via ftp                    
                                                                                
          adress:           gik.bau-verm.uni-karlsruhe.de                       
                            129.13.100.201                                      
          login:            ftp                                                 
          password:         ftp                                                 
          directory:        cd pub                                              
                            cd etc                                             
          description file: hw95.txt                                            
                                                                                
          The  tidal  potential  catalogues  published  by  Doodson  (1921),    
          Cartwright and Tayler (1971)  and  Cartwright  and  Edden  (1973),    
          Buellesfeld (1985), Tamura (1987) and Xi (1989) have  been  trans-    
          formed into an identical normalization and  format  and  are  also    
          available on ftp at the same directory as  this  file.  There  are    
          provided on the same directory  extremely  accurate  gravity  tide    
          benchmark series which  can  be  used  to  check  tidal  potential    
          developments.                                                         
                                                                                
          References:                                                           
          -----------                                                           
                                                                                
          Hartmann, T. and  H.-G. Wenzel  (1994):  Catalogue  of  the  earth    
               tide generating potential due  to  the  planets.  Geophysical    
               Research Letters, vol.21, pp. 1991-1993, 1994.                   
                                                                                
          Hartmann, T. and H.-G. Wenzel (1994): Catalogue of the earth  tide    
               generating potential due to the planets. Bulletin  d'Informa-    
               tions Marees Terrestres, vol. 119, 8847-8880, Bruxelles 1994.    
                                                                                
          Hartmann, T. and H.-G. Wenzel (1995): The HW95 tidal potential        
               catalogue. Submitted to Geophysical Research Letters, August     
               1995.                                                            
                                                                                
          Accuracy:                                                             
          ---------                                                             
                                                                                
          This tidal potential catalog has been validated by comparison with    
          different gravity tide benchmark series, and it is accurate to 1.4    
          pm/s**2 ( = 0.14 ngal) rms error in time domain  and 0.002 pm/s**2    
          ( = 0.0002 ngal) rms error in frequency domain between  years 1900    
          and 2100.                                                             
                                                                                
          Comparison in time domain:                                            
          --------------------------                                            
                                                                                
          Note that the series GTIDE01.DAT has been  computed  with  program    
          Mercury                    l = 2 m = 2 nw =    27 nu =    54          
          Venus                      l = 2 m = 0 nw =   173 nu =   346          
          Venus                      l = 2 m = 1 nw =   407 nu =   814          
          Venus                      l = 2 m = 2 nw =   281 nu =   562          
          Mars                       l = 2 m = 0 nw =    68 nu =   136          
          Mars                       l = 2 m = 1 nw =   195 nu =   390          
          Mars                       l = 2 m = 2 nw =   133 nu =   266          
          Jupiter                    l = 2 m = 0 nw =    26 nu =    52          
          Jupiter                    l = 2 m = 1 nw =    56 nu =   112          
          Jupiter                    l = 2 m = 2 nw =    45 nu =    90          
          Saturn                     l = 2 m = 0 nw =     5 nu =    10          
          Saturn                     l = 2 m = 1 nw =    12 nu =    24          
          Saturn                     l = 2 m = 2 nw =     8 nu =    16          
                                                                                
                                      total sum  nw = 12935 np = 19300          
                                                                                
Format of the file:                                                             
                                                                                
Col.  1...  6: sequence number (1...12935). The end of this file is             
               marked by a sequence number of 999999.                           
Col.  7:       blank                                                            
Col.  8...  9: body generating the potential. MO = Moon, SU = Sun,              
               ME = Mercury, VE= Venus, MA = Mars, JU= Jupiter,                 
               SA = Saturn, FM = quadrupole moment of the Earth on Moon,        
               FS = quadrupole moment of the Earth on Sun.                      
Col. 10... 11: l = degree of the spherical harmonic development.                
Col. 12... 14: m = order  of the spherical harmonic development,                
               equal                                                            
               k1 = integer argument number for the mean local Moontime,        
                    period 24 hours 50 min.                                     
Col. 15... 17: k2 = integer argument number for the mean longitude of the       
                    Moon, period 27.3 days.                                     
Col. 18... 20: k3 = integer argument number for the mean longitude of the       
                    Sun, period 365.25 days.                                    
Col. 21... 23: k4 = integer argument number for the mean longitude of the       
                    lunar perigee, period 8.8 years.                            
Col. 24... 26: k5 = integer argument number for the negative mean longitude     
                    of the lunar ascending node, period 18.6 years.             
Col. 27... 29: k6 = integer argument number for the mean longitude of the       
                    solar perigee, period 20942 years.                          
Col. 30... 32: k7 = integer argument number for the mean longitude of Mercury,  
                    period 88 days.                                             
Col. 33... 35: k8 = integer argument number for the mean longitude of Venus,    
                    period 225 days.                                            
Col. 36... 38: k9 = integer argument number for the mean longitude of Mars,     
                    period 1.88 years.                                          
Col. 39... 41: k10= integer argument number for the mean longitude of Jupiter,  
                    period 11.86 years.                                         
Col. 42... 44: k11= integer argument number for the mean longitude of Saturn,   
                    period 29.4 years.                                          
Col. 45... 56: fr=  frequency of the tidal wave at J2000 in degree per hour.    
Col. 57... 68: C0 = COS-coefficient of the tidal potential in                   
                    10**-10 m**2/s**2. The C0 coefficient has to be multiplied  
                    with the COS of the argument.                               
Col. 69... 80: S0 = SIN-coefficient of the tidal potential in                   
                    10**-10 m**2/s**2. The S0 coefficient has to be multiplied  
                    with the SIN of the argument.                               
