File:      TAMURAHW.DAT                                                         
Status:    19950628                                                             
Contents:  Tidal potential catalogue of Tamura (1987) transformed into HW95     
           normalization and format by Hans-Georg Wenzel, May 1995.
           Darwin names added in June 1995.             
                                                                      
Reference: Tamura, Y. (1987): A harmonic development of the tide
             generating potential. Bulletin d'Informations
             Marees Terrestres No. 99, 6817-6855, Bruxelles 1987.
                                                                                
                                                                                
Format of the file:                                                             
                                                                                
Col.  1...  6: sequence number (1...1200). The end of this file is marked
               by a sequence number of 999999.                                      
Col.  7...  9: body generating the potential. MO = Moon, SU = Sun,              
               ME = Mercury, VE= Venus, MA = Mars, JU= Jupiter,                 
               SA = Saturn, FM = quadrupole moment of the Earth on Moon,        
               FS = quadrupole moment of the Earth on Sun.
Col. 10... 11: l = degree of the spherical harmonic development.                
Col. 12... 14: m = order  of the spherical harmonic development,                
               equal                                                            
               k1 = integer argument number for the mean local Moontime,        
                    period 24 hours 50 min.                                     
Col. 15... 17: k2 = integer argument number for the mean longitude of the       
                    Moon, period 27.3 days.                                     
Col. 18... 20: k3 = integer argument number for the mean longitude of the       
                    Sun, period 365.25 days.                                    
Col. 21... 23: k4 = integer argument number for the mean longitude of the       
                    lunar perigee, period 8.8 years.                            
Col. 24... 26: k5 = integer argument number for the negative mean longitude     
                    of the lunar ascending node, period 18.6 years.             
Col. 27... 29: k6 = integer argument number for the mean longitude of the       
                    solar perigee, period 20942 years.                          
Col. 30... 32: k7 = integer argument number for the mean longitude of Mercury,  
                    period 88 days.                                             
Col. 33... 35: k8 = integer argument number for the mean longitude of Venus,    
                    period 225 days.                                            
Col. 36... 38: k9 = integer argument number for the mean longitude of Mars,     
                    period 1.88 years.                                          
Col. 39... 41: k10= integer argument number for the mean longitude of Jupiter,  
                    period 11.86 years.                                         
Col. 42... 44: k11= integer argument number for the mean longitude of Saturn,   
                    period 29.4 years.                                          
Col. 45... 56: fr=  frequency of the tidal wave at J2000 in degree per hour.    
Col. 57... 68: C0 = COS-coefficient of the tidal potential in                   
                    10**-10 m**2/s**2. The C0 coefficient has to be multiplied  
                    with the COS of the argument.                               
Col. 69... 80: S0 = SIN-coefficient of the tidal potential in                   
                    10**-10 m**2/s**2. The S0 coefficient has to be multiplied  
                    with the SIN of the argument.                               
Col. 81... 90: C1 = t*COS-coefficent of the tidal potential in 10**-10          
                    m**2/s**2 per Julian century. The C1 coefficient has to     
                    be multiplied with the time difference between the epoch    
                    and J2000 (in Julian centuries) and with the COS of         
                    the argument.                                               
Col. 91...100: S1 = t*SIN-coefficent of the tidal potential in 10**-10          
                    m**2/s**2 per Julian century. The S1 coefficient has to     
                    be multiplied with the time difference between the epoch    
                    and J2000 (in Julian centuries) and with the SIN of         
                    the argument.                                               
Col.102...105: nam= Darwin name of the tidal wave (for very few main tidal      
                    waves available only).                                      
                                                                                
number    l  m  k  k  k  k  k  k  k  k  k  k  frequency           C0          S0        C1        S1
    35    2  0  1 -4  1 -1  0  0  0  0  0  0  0.38717737     329777.          0.        0.        0.     
    36    2  0  1 -4  1  0  2  0  0  0  0  0  0.38938770    -247332.          0.        0.        0.     
    37    2  0  1 -4  3  0  0  0  0  0  0  0  0.39866740    -164888.          0.        0.        0.     
    38    2  0  1 -3  1 -1  1  0  0  0  0  0  0.42824797     600664.          0.        0.        0.     
    39    2  0  1 -3  1  0  1  0  0  0  0  0  0.43045437   -7949969.          0.        0.        0.     
    40    2  0  1 -3  1  1  1  0  0  0  0  0  0.43266078     494665.          0.        0.        0.     
    41    2  0  1 -2 -1 -2  0  0  0  0  0  0  0.45782461     659553.          0.        0.        0.     
    42    2  0  1 -2 -1 -1  0  0  0  0  0  0  0.46003102    1801993.          0.        0.        0.     
    43    3  0  1 -2  0 -1  0  0  0  0  0  0  0.46467283          0.    -289352.        0.        0.     
    44    3  0  1 -2  0  0  0  0  0  0  0  0  0.46687924          0.    1179665.        0.        0.     
    45    2  0  1 -2  1 -1  0  0  0  0  0  0  0.46931465   13344171.          0.   -11778.        0.     
    46    2  0  1 -2  1  0  0  0  0  0  0  0  0.47152105 -185982174.          0.   -58889.        0. MSM 
    47    2  0  1 -2  1  1  0  0  0  0  0  0  0.47372746   12072176.          0.   -11778.        0.     
    48    2  0  1 -2  1  2  0  0  0  0  0  0  0.47593387    -117777.          0.        0.        0.     
    49    3  0  1 -2  2  0  0  0  0  0  0  0  0.47616287          0.    -155805.        0.        0.     
    50    2  0  1 -1 -1 -1  1  0  0  0  0  0  0.50110162     541776.          0.        0.        0.     
    51    2  0  1 -1 -1  0  1  0  0  0  0  0  0.50330803   -5971310.          0.        0.        0.     
    52    2  0  1 -1 -1  1  1  0  0  0  0  0  0.50551443     317999.          0.        0.        0.     
    53    2  0  1 -1  0 -1  0  0  0  0  0  0  0.50574147    -388665.          0.        0.        0.     
    54    2  0  1 -1  0  0  0  0  0  0  0  0  0.50794788    5394201.          0.    11778.        0.     
    55    3  0  1 -1  0  0  1  0  0  0  0  0  0.50794984          0.    -133547.        0.        0.     
    56    2  0  1 -1  0  1  0  0  0  0  0  0  0.51015429    -376887.          0.        0.        0.     
    57    2  0  1 -1  1  0 -1  0  0  0  0  0  0.51258773    1283773.          0.        0.        0.     
    58    3  0  1  0 -2  0  0  0  0  0  0  0  0.53973289          0.     422899.        0.        0.     
    59    2  0  1  0 -1 -2  0  0  0  0  0  0  0.53996189    -800886.          0.        0.        0.     
    60    2  0  1  0 -1 -1  0  0  0  0  0  0  0.54216830   63823533.          0.   -35333.        0.     
    61    4  0  1  0 -1 -1  0  0  0  0  0  0  0.54216830     -35114.          0.        0.        0.     
    62    2  0  1  0 -1  0  0  0  0  0  0  0  0.54437471 -972475597.          0.  -317999.        0. MM  
    63    4  0  1  0 -1  0  0  0  0  0  0  0  0.54437471     105343.          0.        0.        0.     
    64    2  0  1  0 -1  1  0  0  0  0  0  0  0.54658111   63105091.          0.   -82444.        0.     
    65    4  0  1  0 -1  1  0  0  0  0  0  0  0.54658111     -35114.          0.        0.        0.     
    66    3  0  1  0  0 -1  0  0  0  0  0  0  0.54681011          0.    5364135.        0.        0.     
    67    2  0  1  0 -1  2  0  0  0  0  0  0  0.54878752    -612442.          0.        0.        0.     
    68    2  0  1  0  0  0 -1  0  0  0  0  0  0.54901456    -800886.          0.        0.        0.     
    69    3  0  1  0  0  0  0  0  0  0  0  0  0.54901652          0. -103721452.        0.    22258. 
    70    3  0  1  0  0  1  0  0  0  0  0  0  0.55122293          0.  -16359499.        0.        0.     
    71    3  0  1  0  0  2  0  0  0  0  0  0  0.55342933          0.    1268696.        0.        0.     
    72    2  0  1  0  1  0  0  0  0  0  0  0  0.55365833   51939800.          0.   -47111.        0.     
    73    2  0  1  0  1  1  0  0  0  0  0  0  0.55586474   21176363.          0.   -11778.        0.     
    74    2  0  1  0  1  2  0  0  0  0  0  0  0.55807115    5688645.          0.        0.        0.     
    75    2  0  1  0  1  3  0  0  0  0  0  0  0.56027755    -282666.          0.        0.        0.     
    76    2  0  1  1 -1 -1 -1  0  0  0  0  0  0.58323498    -388665.          0.        0.        0.     
    77    2  0  1  1 -1  0 -1  0  0  0  0  0  0.58544138    5017314.          0.        0.        0.     
    78    2  0  1  1 -1  1 -1  0  0  0  0  0  0.58764779    -200221.          0.        0.        0.     
    79    3  0  1  1  0  0 -1  0  0  0  0  0  0.59008320          0.     200320.        0.        0.     
    80    2  0  1  1  0  0  0  0  0  0  0  0  0.59008516    -317999.          0.        0.        0.     
    81    2  0  1  1  0  1  0  0  0  0  0  0  0.59229157    -129555.          0.        0.        0.     
    82    2  0  1  1  1  0 -1  0  0  0  0  0  0.59472501     176666.          0.        0.        0.     
    83    2  0  1  1  1  1 -1  0  0  0  0  0  0.59693142     106000.          0.        0.        0.     
    84    2  0  1  2 -1  0  0  0  0  0  0  0  0.62651199   13520837.          0.   -11778.        0.     
    85    2  0  1  2 -1  1  0  0  0  0  0  0  0.62871839    6760418.          0.        0.        0.     
    86    2  0  1  2 -1  2  0  0  0  0  0  0  0.63092480    1213106.          0.        0.        0.     
    87    3  0  1  2  0  1  0  0  0  0  0  0  0.63336021          0.     155805.        0.        0.     
    88    3  0  1  2  0  2  0  0  0  0  0  0  0.63556661          0.      89031.        0.        0.     
    89    2  0  1  3 -1  0 -1  0  0  0  0  0  0.66757866     647775.          0.        0.        0.     
    90    2  0  1  3 -1  1 -1  0  0  0  0  0  0.66978507     306221.          0.        0.        0.     
    91    2  0  2 -5  2  0  1  0  0  0  0  0  0.90197543    -259110.          0.        0.        0.     
    92    2  0  2 -4  0 -1  0  0  0  0  0  0  0.93155207     294443.          0.        0.        0.     
    93    2  0  2 -4  0  0  2  0  0  0  0  0  0.93376240    -482887.          0.        0.        0.     
    94    2  0  2 -4  2 -1  0  0  0  0  0  0  0.94083570     211999.          0.        0.        0.     
    95    2  0  2 -4  2  0  0  0  0  0  0  0  0.94304211   -3026877.          0.        0.        0.     
    96    2  0  2 -4  2  1  0  0  0  0  0  0  0.94524851     200221.          0.        0.        0.     
    97    2  0  2 -3  0 -1  1  0  0  0  0  0  0.97262267    -270888.          0.        0.        0.     
    98    2  0  2 -3  0  0  1  0  0  0  0  0  0.97482908  -10623515.          0.    11778.        0.     
    99    2  0  2 -3  0  1  1  0  0  0  0  0  0.97703549     671331.          0.        0.        0.     
   100    2  0  2 -3  1  0  0  0  0  0  0  0  0.97946893     259110.          0.        0.        0.     
   101    3  0  2 -3  1  0  1  0  0  0  0  0  0.97947089          0.    -155805.        0.        0.     
   102    2  0  2 -2 -2 -1  0  0  0  0  0  0  1.00440573     153111.          0.        0.        0.     
   103    3  0  2 -2 -1  0  0  0  0  0  0  0  1.01125395          0.     155805.        0.        0.     
   104    2  0  2 -2  0 -2  0  0  0  0  0  0  1.01148295    -341554.          0.        0.        0.     
   105    2  0  2 -2  0 -1  0  0  0  0  0  0  1.01368935  -11506845.          0.        0.        0.     
   106    2  0  2 -2  0  0  0  0  0  0  0  0  1.01589576 -161296047.          0.   -47111.        0. MSF 
   107    2  0  2 -2  0  1  0  0  0  0  0  0  1.01810217   10352627.          0.        0.        0.     
   108    3  0  2 -2  1 -1  0  0  0  0  0  0  1.01833117          0.     178063.        0.        0.     
   109    2  0  2 -2  0  2  0  0  0  0  0  0  1.02030857    -117777.          0.        0.        0.     
   110    3  0  2 -2  1  0  0  0  0  0  0  0  1.02053757          0.   -3294158.        0.        0.     
   111    3  0  2 -2  1  1  0  0  0  0  0  0  1.02274398          0.    -511930.        0.        0.     
   112    2  0  2 -2  2  0  0  0  0  0  0  0  1.02517939    1048218.          0.        0.        0.     
   113    2  0  2 -2  2  1  0  0  0  0  0  0  1.02738579     423998.          0.        0.        0.     
   114    2  0  2 -2  2  2  0  0  0  0  0  0  1.02959220     153111.          0.        0.        0.     
   115    2  0  2 -1 -2  0  1  0  0  0  0  0  1.04768273    -977552.          0.        0.        0.     
   116    2  0  2 -1 -1  0  0  0  0  0  0  0  1.05232259     871552.          0.        0.        0.     
   117    3  0  2 -1 -1  0  1  0  0  0  0  0  1.05232455          0.    -133547.        0.        0.     
   118    2  0  2 -1  0 -1 -1  0  0  0  0  0  1.05475603     341554.          0.        0.        0.     
   119    2  0  2 -1  0  0 -1  0  0  0  0  0  1.05696244    1778438.          0.        0.        0.     
   120    3  0  2 -1  0  0  0  0  0  0  0  0  1.05696440          0.      89031.        0.        0.     
   121    2  0  2 -1  0  0  1  0  0  0  0  0  1.05696636   -5582645.          0.        0.        0.     
   122    2  0  2 -1  0  1  1  0  0  0  0  0  1.05917277   -1177773.          0.        0.        0.     
   123    2  0  2  0 -2 -1  0  0  0  0  0  0  1.08654301    4239984.          0.        0.        0.     
   124    2  0  2  0 -2  0  0  0  0  0  0  0  1.08874941  -79699916.          0.   -35333.        0.     
   125    2  0  2  0 -2  1  0  0  0  0  0  0  1.09095582    5170425.          0.        0.        0.     
   126    3  0  2  0 -1 -1  0  0  0  0  0  0  1.09118482          0.     890313.        0.        0.     
   127    2  0  2  0 -1  0 -1  0  0  0  0  0  1.09338926    -176666.          0.        0.        0.     
   128    3  0  2  0 -1  0  0  0  0  0  0  0  1.09339123          0.  -16960461.        0.        0.     
   129    3  0  2  0 -1  1  0  0  0  0  0  0  1.09559763          0.   -2670939.        0.        0.     
   130    3  0  2  0 -1  2  0  0  0  0  0  0  1.09780404          0.     200320.        0.        0.     
   131    2  0  2  0  0  0  0  0  0  0  0  0  1.09803304-1840894928.          0.  1943326.        0. MF  
   132    4  0  2  0  0  0  0  0  0  0  0  0  1.09803304     754960.          0.        0.        0.     
   133    2  0  2  0  0  1  0  0  0  0  0  0  1.10023945 -763255957.          0.   412221.        0.     
   134    4  0  2  0  0  1  0  0  0  0  0  0  1.10023945     280915.          0.        0.        0.     
   135    2  0  2  0  0  2  0  0  0  0  0  0  1.10244585  -71373059.          0.   -11778.        0.     
   136    3  0  2  0  1  0  0  0  0  0  0  0  1.10267485          0.     467414.        0.        0.     
   137    2  0  2  0  0  3  0  0  0  0  0  0  1.10465226    1531105.          0.        0.        0.     
   138    3  0  2  0  1  1  0  0  0  0  0  0  1.10488126          0.     289352.        0.        0.     
   139    3  0  2  0  1  2  0  0  0  0  0  0  1.10708767          0.     133547.        0.        0.     
   140    2  0  2  1 -2  0 -1  0  0  0  0  0  1.12981609     777330.          0.        0.        0.     
   141    3  0  2  1 -1  0 -1  0  0  0  0  0  1.13445790          0.     111289.        0.        0.     
   142    2  0  2  1 -1  0  0  0  0  0  0  0  1.13445987    -282666.          0.        0.        0.     
   143    2  0  2  1  0  0 -1  0  0  0  0  0  1.13909972    6324642.          0.        0.        0.     
   144    2  0  2  1  0  1 -1  0  0  0  0  0  1.14130612    1660660.          0.        0.        0.     
   145    2  0  2  2 -2  0  0  0  0  0  0  0  1.17088669    5523757.          0.        0.        0.     
   146    2  0  2  2 -2  1  0  0  0  0  0  0  1.17309310    2131770.          0.        0.        0.     
   147    2  0  2  2 -2  2  0  0  0  0  0  0  1.17529951     259110.          0.        0.        0.     
   148    3  0  2  2 -1  0  0  0  0  0  0  0  1.17552851          0.     111289.        0.        0.     
   149    3  0  2  2 -1  1  0  0  0  0  0  0  1.17773491          0.      89031.        0.        0.     
   150    2  0  2  2  0  2  0  0  0  0  0  0  1.18458313     800886.          0.        0.        0.     
   151    2  0  2  2  0  3  0  0  0  0  0  0  1.18678954     294443.          0.        0.        0.     
   152    2  0  2  3 -2  0 -1  0  0  0  0  0  1.21195337     223777.          0.        0.        0.     
   153    2  0  3 -5  1  0  1  0  0  0  0  0  1.44635013    -541776.          0.        0.        0.     
   154    2  0  3 -4  1 -1  0  0  0  0  0  0  1.48521041    -482887.          0.        0.        0.     
   155    2  0  3 -4  1  0  0  0  0  0  0  0  1.48741681   -4864204.          0.        0.        0.     
   156    2  0  3 -4  1  1  0  0  0  0  0  0  1.48962322     353332.          0.        0.        0.     
   157    3  0  3 -4  2  0  0  0  0  0  0  0  1.49205863          0.     -66773.        0.        0.     
   158    2  0  3 -3 -1  0  1  0  0  0  0  0  1.51920379   -1860882.          0.        0.        0.     
   159    2  0  3 -3 -1  1  1  0  0  0  0  0  1.52141019     141333.          0.        0.        0.     
   160    3  0  3 -3  0  0  1  0  0  0  0  0  1.52384560          0.    -178063.        0.        0.     
   161    2  0  3 -3  1  0  1  0  0  0  0  0  1.52848741   -3168210.          0.        0.        0.     
   162    2  0  3 -3  1  1  1  0  0  0  0  0  1.53069382   -1236662.          0.        0.        0.     
   163    2  0  3 -2 -1 -1  0  0  0  0  0  0  1.55806406   -2614657.          0.        0.        0.     
   164    2  0  3 -2 -1  0  0  0  0  0  0  0  1.56027047  -25522346.          0.        0.        0.     
   165    2  0  3 -2 -1  1  0  0  0  0  0  0  1.56247687    1648883.          0.        0.        0.     
   166    3  0  3 -2  0  0  0  0  0  0  0  0  1.56491228          0.   -2849001.        0.        0.     
   167    3  0  3 -2  0  1  0  0  0  0  0  0  1.56711869          0.    -445156.        0.        0.     
   168    2  0  3 -2  1  0  0  0  0  0  0  0  1.56955409  -66944632.          0.    70666.        0. MSTM
   169    2  0  3 -2  1  1  0  0  0  0  0  0  1.57176050  -27748338.          0.    11778.        0.     
   170    2  0  3 -2  1  2  0  0  0  0  0  0  1.57396691   -2508657.          0.        0.        0.     
   171    2  0  3 -1 -3  0  1  0  0  0  0  0  1.59205744    -117777.          0.        0.        0.     
   172    2  0  3 -1 -2  0  0  0  0  0  0  0  1.59669729      94222.          0.        0.        0.     
   173    2  0  3 -1 -1  0 -1  0  0  0  0  0  1.60133714     412221.          0.        0.        0.     
   174    2  0  3 -1 -1  0  1  0  0  0  0  0  1.60134107   -3285987.          0.        0.        0.     
   175    2  0  3 -1 -1  1  1  0  0  0  0  0  1.60354747   -1142440.          0.        0.        0.     
   176    2  0  3 -1  0  0  0  0  0  0  0  0  1.60598092    1849104.          0.        0.        0.     
   177    2  0  3 -1  0  1  0  0  0  0  0  0  1.60818733     777330.          0.        0.        0.     
   178    2  0  3 -1  1  0 -1  0  0  0  0  0  1.61062077     694886.          0.        0.        0.     
   179    2  0  3 -1  1  1 -1  0  0  0  0  0  1.61282718     235555.          0.        0.        0.     
   180    2  0  3  0 -3 -1  0  0  0  0  0  0  1.63091771     235555.          0.        0.        0.     
   181    2  0  3  0 -3  0  0  0  0  0  0  0  1.63312412   -6395309.          0.        0.        0.     
   182    2  0  3  0 -3  1  0  0  0  0  0  0  1.63533053     412221.          0.        0.        0.     
   183    3  0  3  0 -2 -1  0  0  0  0  0  0  1.63555953          0.      89031.        0.        0.     
   184    3  0  3  0 -2  0  0  0  0  0  0  0  1.63776593          0.   -2047720.        0.        0.     
   185    3  0  3  0 -2  1  0  0  0  0  0  0  1.63997234          0.    -311610.        0.        0.     
   186    2  0  3  0 -1  0  0  0  0  0  0  0  1.64240775 -352460424.          0.   388665.        0. MTM 
   187    4  0  3  0 -1  0  0  0  0  0  0  0  1.64240775     184351.          0.        0.        0.     
   188    2  0  3  0 -1  1  0  0  0  0  0  0  1.64461415 -146102772.          0.   117777.        0.     
   189    4  0  3  0 -1  1  0  0  0  0  0  0  1.64461415      70229.          0.        0.        0.     
   190    2  0  3  0 -1  2  0  0  0  0  0  0  1.64682056  -13673947.          0.    11778.        0.     
   191    2  0  3  0  0  0 -1  0  0  0  0  0  1.64704760    -306221.          0.        0.        0.     
   192    3  0  3  0  0  0  0  0  0  0  0  0  1.64704956          0.   -8435715.        0.        0.     
   193    2  0  3  0 -1  3  0  0  0  0  0  0  1.64902697     223777.          0.        0.        0.     
   194    3  0  3  0  0  1  0  0  0  0  0  0  1.64925597          0.   -5252846.        0.        0.     
   195    3  0  3  0  0  2  0  0  0  0  0  0  1.65146237          0.   -1023860.        0.        0.     
   196    2  0  3  0  1  2  0  0  0  0  0  0  1.65610419    1342662.          0.        0.        0.     
   197    2  0  3  0  1  3  0  0  0  0  0  0  1.65831059     553553.          0.        0.        0.     
   198    2  0  3  1 -1  0 -1  0  0  0  0  0  1.68347442    2967989.          0.        0.        0.     
   199    2  0  3  1 -1  1 -1  0  0  0  0  0  1.68568083    1036440.          0.        0.        0.     
   200    2  0  3  2 -3  0  0  0  0  0  0  0  1.71526140    1130662.          0.        0.        0.     
   201    2  0  3  2 -3  1  0  0  0  0  0  0  1.71746781     435776.          0.        0.        0.     
   202    2  0  3  2 -1  2  0  0  0  0  0  0  1.72895784     294443.          0.        0.        0.     
   203    2  0  3  2 -1  3  0  0  0  0  0  0  1.73116425     117777.          0.        0.        0.     
   204    2  0  4 -6  2  0  0  0  0  0  0  0  1.95893787    -106000.          0.        0.        0.     
   205    2  0  4 -5  0  0  1  0  0  0  0  0  1.99072484    -317999.          0.        0.        0.     
   206    2  0  4 -5  2  0  1  0  0  0  0  0  2.00000847    -153111.          0.        0.        0.     
   207    2  0  4 -4  0 -1  0  0  0  0  0  0  2.02958511    -518220.          0.        0.        0.     
   208    2  0  4 -4  0  0  0  0  0  0  0  0  2.03179152   -2485102.          0.        0.        0.     
   209    2  0  4 -4  0  0  2  0  0  0  0  0  2.03179544    -188444.          0.        0.        0.     
   210    2  0  4 -4  0  1  0  0  0  0  0  0  2.03399793     223777.          0.        0.        0.     
   211    3  0  4 -4  1  0  0  0  0  0  0  0  2.03643333          0.    -111289.        0.        0.     
   212    2  0  4 -4  2  0  0  0  0  0  0  0  2.04107515   -1719549.          0.        0.        0.     
   213    2  0  4 -4  2  1  0  0  0  0  0  0  2.04328155    -706664.          0.        0.        0.     
   214    2  0  4 -3 -2  0  1  0  0  0  0  0  2.06357849    -235555.          0.        0.        0.     
   215    2  0  4 -3  0  0  1  0  0  0  0  0  2.07286212   -3851319.          0.        0.        0.     
   216    2  0  4 -3  0  1  1  0  0  0  0  0  2.07506853   -1542883.          0.        0.        0.     
   217    2  0  4 -2 -2 -1  0  0  0  0  0  0  2.10243877    -388665.          0.        0.        0.     
   218    2  0  4 -2 -2  0  0  0  0  0  0  0  2.10464517   -3038655.          0.        0.        0.     
   219    2  0  4 -2 -2  1  0  0  0  0  0  0  2.10685158     200221.          0.        0.        0.     
   220    3  0  4 -2 -1  0  0  0  0  0  0  0  2.10928699          0.    -623219.        0.        0.     
   221    3  0  4 -2 -1  1  0  0  0  0  0  0  2.11149339          0.     -89031.        0.        0.     
   222    2  0  4 -2  0  0  0  0  0  0  0  0  2.11392880  -56285784.          0.    58889.        0. MSQM
